"name","year","rate","margin_of_error","population","murder","rape","robbery","agg_assault","b_and_e","larceny_theft","mv_theft","grand_total","percent_change","violent_crime_total","violent_crime_percent","violent_crime_percent_change","property_crime_totals","property_crime_percent","property_crime_percent_change","overall_crime_rate_per_100k","overall_percent_change_per_100k","violent_crime_rate_per_100k","violent_crime_rate_percent_change_per_100k","property_crime_rate_per_100k","property_crime_rate_percent_change_per_100k","murder_per_100k","rape_per_100k","robbery_per_100k","agg_assult_per_100k","b_and_e_per_100k","larceny_theft_per_100k","mv_theft_per_100k","murder_rate_percent_change__per_100k","rape_rate_percent_change_per_100k","robbery__rate_percent_change_per_100k","agg_assult_rate_percent_change_per_100k","b_and_e_rate_percent_change_per_100k","larceny_theft_rate_percent_change_per_100k","mv_theft_rate_percent_change_per_100k"
"Allegany County","2006","14.9","2.3","73841","1","29","37","215","542","1586","83","2493","8.0","282","11.3","8.5","2211","88.7","8.0","3376.2","8.9","381.9","9.3","2994.3","8.8","1.4","39.3","50.1","291.2","734.0","2147.9","112.4","0.8","-2.6","148.6","1.3","18.8","4.4","46.8"
"Allegany County","2007","14.2","2.1","71977","0","20","35","207","536","1631","92","2521","1.1","262","10.4","-7.1","2259","89.6","2.2","3502.5","3.7","364.0","-4.7","3138.5","4.8","0.0","27.8","48.6","287.6","744.7","2266.0","127.8","-100.0","-29.2","-3.0","-1.2","1.5","5.5","13.7"
"Allegany County","2008","15.3","2.8","71806","1","17","34","188","517","1657","49","2463","-2.3","240","9.7","-8.4","2223","90.3","-1.6","3430.1","-2.1","334.2","-8.2","3095.8","-1.4","1.4","23.7","47.3","261.8","720.0","2307.6","68.2","100.0","-14.8","-2.6","-9.0","-3.3","1.8","-46.6"
"Allegany County","2009","16.6","3.3","72312","1","25","38","259","606","1622","49","2600","5.6","323","12.4","34.6","2277","87.6","2.4","3595.5","4.8","446.7","33.6","3148.9","1.7","1.4","34.6","52.6","358.2","838.0","2243.1","67.8","-0.7","46.0","11.0","36.8","16.4","-2.8","-0.7"
"Allegany County","2010","17.1","3.0","72721","4","26","48","234","596","1921","49","2878","10.7","312","10.8","-3.4","2566","89.2","12.7","3957.6","10.1","429.0","-3.9","3528.6","12.1","5.5","35.8","66.0","321.8","819.6","2641.6","67.4","297.8","3.4","25.6","-10.2","-2.2","17.8","-0.6"
"Allegany County","2011","19.1","3.4","75799","6","30","62","153","608","1866","43","2768","-3.8","251","9.1","-19.6","2517","90.9","-1.9","3651.8","-7.7","331.1","-22.8","3320.6","-5.9","7.9","39.6","81.8","201.8","802.1","2461.8","56.7","43.9","10.7","23.9","-37.3","-2.1","-6.8","-15.8"
"Allegany County","2012","18.1","2.8","75413","3","22","42","201","571","1904","67","2810","1.5","268","9.5","6.8","2542","90.5","1.0","3726.1","2.0","355.4","7.3","3370.8","1.5","4.0","29.2","55.7","266.5","757.2","2524.8","88.8","-49.7","-26.3","-31.9","32.0","-5.6","2.6","56.6"
"Allegany County","2013","18.6","3.3","73834","4","28","63","154","547","1787","54","2637","-6.2","249","9.4","-7.1","2388","90.6","-6.1","3571.5","-4.1","337.2","-5.1","3234.3","-4.0","5.4","37.9","85.3","208.6","740.9","2420.3","73.1","36.2","30.0","53.2","-21.7","-2.2","-4.1","-17.7"
"Anne Arundel County","2006","4.8","0.6","512277","23","110","943","2091","3420","12217","1654","20458","1.8","3167","15.5","0.0","17291","84.5","2.1","3993.5","1.8","618.2","0.0","3375.3","2.1","4.5","21.5","184.1","408.2","667.6","2384.8","322.9","43.8","25.0","9.1","-4.8","9.6","-0.5","8.6"
"Anne Arundel County","2007","5.0","0.7","508164","20","90","910","2048","3412","13295","1667","21442","4.8","3068","14.3","-3.1","18374","85.7","6.3","4219.5","5.7","603.7","-2.3","3615.8","7.1","3.9","17.7","179.1","403.0","671.4","2616.3","328.0","-12.3","-17.5","-2.7","-1.3","0.6","9.7","1.6"
"Anne Arundel County","2008","5.0","0.8","511145","18","109","810","1994","3419","14302","1581","22233","3.7","2931","13.2","-4.5","19302","86.8","5.1","4349.6","3.1","573.4","-5.0","3776.2","4.4","3.5","21.3","158.5","390.1","668.9","2798.0","309.3","-10.5","20.4","-11.5","-3.2","-0.4","6.9","-5.7"
"Anne Arundel County","2009","6.8","1.0","517763","16","95","746","2063","3067","12763","1134","19884","-10.6","2920","14.7","-0.4","16964","85.3","-12.1","3840.4","-11.7","564.0","-1.6","3276.4","-13.2","3.1","18.3","144.1","398.4","592.4","2465.0","219.0","-12.2","-14.0","-9.1","2.1","-11.4","-11.9","-29.2"
"Anne Arundel County","2010","6.6","1.1","527278","18","113","661","2137","2860","11732","1236","18757","-5.7","2929","15.6","0.3","15828","84.4","-6.7","3557.3","-7.4","555.5","-1.5","3001.8","-8.4","3.4","21.4","125.4","405.3","542.4","2225.0","234.4","10.5","16.8","-13.0","1.7","-8.4","-9.7","7.0"
"Anne Arundel County","2011","6.5","1.2","542753","15","91","597","1972","2259","11394","832","17160","-8.5","2675","15.6","-8.7","14485","84.4","-8.5","3161.7","-11.1","492.9","-11.3","2668.8","-11.1","2.8","16.8","110.0","363.3","416.2","2099.3","153.3","-19.0","-21.8","-12.3","-10.4","-23.3","-5.7","-34.6"
"Anne Arundel County","2012","6.3","1.0","549659","13","100","538","1630","2585","11299","888","17053","-0.6","2281","13.4","-14.7","14772","86.6","2.0","3102.5","-1.9","415.0","-15.8","2687.5","0.7","2.4","18.2","97.9","296.5","470.3","2055.6","161.6","-14.4","8.5","-11.0","-18.4","13.0","-2.1","5.4"
"Anne Arundel County","2013","7.3","1.1","555330","15","71","630","1603","2522","11272","677","16790","-1.5","2319","13.8","1.7","14471","86.2","-2.0","3023.4","-2.5","417.6","0.6","2605.8","-3.0","2.7","12.8","113.4","288.7","454.1","2029.8","121.9","14.2","-29.7","15.9","-2.7","-3.4","-1.3","-24.5"
"Baltimore City","2006","19.2","1.5","637556","276","139","4260","6196","7664","18846","6276","43657","-3.1","10871","24.9","-3.9","32786","75.1","-2.9","6847.6","-2.6","1705.1","-3.3","5142.5","-2.3","43.3","21.8","668.2","971.8","1202.1","2956.0","984.4","3.2","-13.7","8.9","-10.3","4.3","-5.9","1.3"
"Baltimore City","2007","19.9","1.6","624237","282","146","3926","5875","7431","17077","5821","40558","-7.1","10229","25.2","-5.9","30329","74.8","-7.5","6497.2","-5.1","1638.6","-3.9","4858.6","-5.5","45.2","23.4","628.9","941.1","1190.4","2735.7","932.5","4.4","7.3","-5.9","-3.2","-1.0","-7.5","-5.3"
"Baltimore City","2008","19.2","1.6","634549","234","137","4058","5703","7880","17635","5518","41165","1.5","10132","24.6","-0.9","31033","75.4","2.3","6487.3","-0.2","1596.7","-2.6","4890.6","0.7","36.9","21.6","639.5","898.7","1241.8","2779.1","869.6","-18.4","-7.7","1.7","-4.5","4.3","1.6","-6.7"
"Baltimore City","2009","20.9","1.7","638755","238","158","3726","5579","7856","17101","4632","39290","-4.6","9701","24.7","-4.3","29589","75.3","-4.7","6151.0","-5.2","1518.7","-4.9","4632.3","-5.3","37.3","24.7","583.3","873.4","1229.9","2677.2","725.2","1.0","14.6","-8.8","-2.8","-1.0","-3.7","-16.6"
"Baltimore City","2010","24.7","1.8","639927","223","266","3361","5502","7646","16626","4421","38045","-3.2","9352","24.6","-3.6","28693","75.4","-3.0","5945.2","-3.3","1461.4","-3.8","4483.8","-3.2","34.8","41.6","525.2","859.8","1194.8","2598.1","690.9","-6.5","68.0","-10.0","-1.6","-2.9","-3.0","-4.7"
"Baltimore City","2011","24.5","1.7","626848","197","341","3485","4905","8649","17397","4207","39181","3.0","8928","22.8","-4.5","30253","77.2","5.4","6250.5","5.1","1424.3","-2.5","4826.2","7.6","31.4","54.4","556.0","782.5","1379.8","2775.3","671.1","-9.8","30.9","5.9","-9.0","15.5","6.8","-2.9"
"Baltimore City","2012","24.5","1.7","625474","216","317","3635","4657","7796","17849","3987","38457","-1.8","8825","22.9","-1.2","29632","77.1","-2.1","6148.5","-1.6","1410.9","-0.9","4737.5","-1.8","34.5","50.7","581.2","744.6","1246.4","2853.7","637.4","9.9","-6.8","4.5","-4.8","-9.7","2.8","-5.0"
"Baltimore City","2013","22.7","1.6","622671","233","298","3755","4471","7440","19329","4462","39988","4.0","8757","21.9","-0.8","31231","78.1","5.4","6422.0","4.4","1406.4","-0.3","5015.7","5.9","37.4","47.9","603.0","718.0","1194.9","3104.2","716.6","8.4","-5.6","3.8","-3.6","-4.1","8.8","12.4"
"Baltimore County","2006","8.0","0.8","788266","35","143","2090","3445","4812","18357","3463","32345","4.5","5713","17.7","1.1","26632","82.3","5.3","4103.3","4.3","724.8","0.9","3378.6","5.1","4.4","18.1","265.1","437.0","610.5","2328.8","439.3","-12.7","-19.8","17.9","-6.1","3.8","4.0","13.5"
"Baltimore County","2007","7.6","0.9","785567","36","151","1787","3407","4949","18607","3372","32309","-0.1","5381","16.7","-5.8","26928","83.3","1.1","4112.8","0.2","685.0","-5.5","3427.8","1.5","4.6","19.2","227.5","433.7","630.0","2368.6","429.2","3.2","6.0","-14.2","-0.8","3.2","1.7","-2.3"
"Baltimore County","2008","7.9","0.9","787558","31","152","1730","3018","4448","19661","2940","31980","-1.0","4931","15.4","-8.4","27049","84.6","0.4","4060.7","-1.3","626.1","-8.6","3434.5","0.2","3.9","19.3","219.7","383.2","564.8","2496.5","373.3","-14.1","0.4","-3.4","-11.6","-10.4","5.4","-13.0"
"Baltimore County","2009","8.3","1.0","792855","32","154","1471","2898","4316","19536","2443","30850","-3.5","4555","14.8","-7.6","26295","85.2","-2.8","3891.0","-4.2","574.5","-8.2","3316.5","-3.4","4.0","19.4","185.5","365.5","544.4","2464.0","308.1","2.5","0.6","-15.5","-4.6","-3.6","-1.3","-17.5"
