"id","jurisdiction_id","year","rate","margin_of_error"
"1","1","2006","14.9","2.3"
"2","2","2006","4.8","0.6"
"3","3","2006","19.2","1.5"
"4","4","2006","8.0","0.8"
"5","5","2006","4.4","0.9"
"6","6","2006","11.0","2.1"
"7","7","2006","4.0","0.7"
"8","8","2006","7.8","1.5"
"9","9","2006","6.2","1.1"
"10","10","2006","14.3","2.7"
"11","11","2006","4.5","0.8"
"12","12","2006","11.7","2.2"
"13","13","2006","4.7","0.8"
"14","14","2006","4.3","0.7"
"15","15","2006","10.3","1.9"
"16","16","2006","4.8","0.5"
"17","17","2006","7.7","0.8"
"18","18","2006","6.5","1.3"
"19","19","2006","21.1","3.9"
"20","20","2006","7.5","1.4"
"21","21","2006","7.7","1.5"
"22","22","2006","9.5","1.5"
"23","23","2006","12.3","2.0"
"24","24","2006","9.3","1.8"
"32","1","2007","14.2","2.1"
"33","2","2007","5.0","0.7"
"34","3","2007","19.9","1.6"
"35","4","2007","7.6","0.9"
"36","5","2007","5.2","1.1"
"37","6","2007","11.7","2.3"
"38","7","2007","4.7","0.9"
"39","8","2007","9.3","1.7"
"40","9","2007","5.9","1.3"
"41","10","2007","13.7","2.7"
"42","11","2007","5.3","1.0"
"43","12","2007","12.9","2.5"
"44","13","2007","5.6","1.0"
"45","14","2007","4.5","0.8"
"46","15","2007","12.7","2.5"
"47","16","2007","5.1","0.7"
"48","17","2007","8.1","0.9"
"49","18","2007","6.1","1.4"
"50","19","2007","23.0","4.7"
"51","20","2007","7.7","1.5"
"52","21","2007","8.3","1.8"
"53","22","2007","10.5","1.6"
"54","23","2007","13.2","2.1"
"55","24","2007","9.2","1.9"
"63","1","2008","15.3","2.8"
"64","2","2008","5.0","0.8"
"65","3","2008","19.2","1.6"
"66","4","2008","7.9","0.9"
"67","5","2008","5.6","1.0"
"68","6","2008","10.8","2.0"
"69","7","2008","5.6","0.9"
"70","8","2008","7.2","1.3"
"71","9","2008","6.2","1.0"
"72","10","2008","14.3","2.7"
"73","11","2008","5.4","0.9"
"74","12","2008","15.0","2.6"
"75","13","2008","5.7","0.9"
"76","14","2008","4.3","0.8"
"77","15","2008","12.0","2.5"
"78","16","2008","5.8","0.6"
"79","17","2008","6.7","0.7"
"80","18","2008","6.3","1.2"
"81","19","2008","23.1","4.6"
"82","20","2008","7.4","1.4"
"83","21","2008","8.3","1.6"
"84","22","2008","9.4","1.4"
"85","23","2008","12.8","1.9"
"86","24","2008","10.5","2.0"
"94","1","2009","16.6","3.3"
"95","2","2009","6.8","1.0"
